ID,Approved,symbol,Approved,name,Status,Previous,symbols,Alias,symbols,Chromosome,Accession,numbers,RefSeq,IDs,,,,,,,,,,
F8A1,coagulation,factor,VIII,associated,1,Approved,F8A,DXS522E,Xq28,M34677,NM_012151,,,,,,,,,,,,,
F8A2,coagulation,factor,VIII,associated,2,Approved,Xq28,NM_001007523,,,,,,,,,,,,,,,,
F8A3,coagulation,factor,VIII,associated,3,Approved,Xq28,NM_001007524,,,,,,,,,,,,,,,,
F9,coagulation,factor,IX,Approved,FIX,Xq27.1,M11309,,,,,,,,,,,,,,,,,
FAAH2,fatty,acid,amide,hydrolase,2,Approved,AMDD,"RP11-479E16.1,","FLJ31204,",FAAH-2,Xp11.21,AK055766,NM_174912,,,,,,,,,,,
FABP5P13,fatty,acid,binding,protein,5,pseudogene,13,Approved,FABP5L13,Xp22.33,and,Yp11.32,,,,,,,,,,,,
FABP5P15,fatty,acid,binding,protein,5,pseudogene,15,Approved,FABP5L15,Xq21.1,,,,,,,,,,,,,,
FAM3A,FAM3,metabolism,regulating,signaling,molecule,A,Approved,"DXS560S,","2-19,",XAP-7,Xq28,X74610,,,,,,,,,,,,
FAM3C2P,family,with,sequence,similarity,3,member,"C2,",pseudogene,Approved,FAM3C2,Xp22.11,NG_002950,,,,,,,,,,,,
FAM8A4P,family,with,sequence,similarity,8,member,"A4,",pseudogene,Approved,FAM8A8P,Yq11.21,AF315801,NG_003135,,,,,,,,,,,
FAM8A7P,family,with,sequence,similarity,8,member,"A7,",pseudogene,Approved,Yp11.2,NG_003134,,,,,,,,,,,,,
FAM8A8P,symbol,"withdrawn,",see,[HGNC:16375](/data/gene-symbol-report/#!/hgnc_id/HGNC:16375),Symbol,Withdrawn,Yq11.21,,,,,,,,,,,,,,,,,
FAM8A9P,family,with,sequence,similarity,8,member,"A9,",pseudogene,Approved,Yq11.223,NG_003136,,,,,,,,,,,,,
FAM8A10P,family,with,sequence,similarity,8,member,"A10,",pseudogene,Approved,Yq11.223,NG_003137,,,,,,,,,,,,,
FAM9A,family,with,sequence,similarity,9,member,A,Approved,TEX39A,Xp22.31,NM_174951,,,,,,,,,,,,,
FAM9B,family,with,sequence,similarity,9,member,B,Approved,TEX39B,Xp22.31,NM_205849,,,,,,,,,,,,,
FAM9C,family,with,sequence,similarity,9,member,C,Approved,TEX39C,Xp22.2,NM_174901,,,,,,,,,,,,,
FAM9CP1,FAM9C,pseudogene,1,Approved,Xp22.2,,,,,,,,,,,,,,,,,,,
FAM41AY1,family,with,sequence,similarity,41,member,"A,",Y-linked,1,Approved,FAM41AY,Yq11.222,BC042981,NR_028083,,,,,,,,,,
FAM41AY2,family,with,sequence,similarity,41,member,"A,",Y-linked,2,Approved,Yq11.222,NR_028084,,,,,,,,,,,,
FAM41BY,family,with,sequence,similarity,"41,",member,"B,",Y-linked,Entry,Withdrawn,Yq11.222,,,,,,,,,,,,,
FAM47A,family,with,sequence,similarity,47,member,A,Approved,MGC27003,Xp21.1,BC026171,NM_203408,,,,,,,,,,,,
FAM47B,family,with,sequence,similarity,47,member,B,Approved,FLJ35782,Xp21.1,BC035026,NM_152631,,,,,,,,,,,,
FAM47C,family,with,sequence,similarity,47,member,C,Approved,Xp21.1,AK125992,NM_001013736,,,,,,,,,,,,,
FAM47DP,family,with,sequence,similarity,47,member,"D,",pseudogene,Approved,Xp21.1,AL627244,NG_008058,,,,,,,,,,,,
FAM50A,family,with,sequence,similarity,50,member,A,Approved,"DXS9928E,","XAP5,","HXC-26,",9F,Xq28,BC000028,NM_004699,,,,,,,,,
FAM104B,family,with,sequence,similarity,104,member,B,Approved,CXorf44,FLJ20434,Xp11.21,BC000919,NM_138362,,,,,,,,,,,
FAM120C,family,with,sequence,similarity,120,member,C,Approved,CXorf17,"ORF34,",FLJ20506,Xp11.22,AY150025,NM_017848,,,,,,,,,,
FAM133A,family,with,sequence,similarity,133,member,A,Approved,"RP1-32F7.2,","FLJ37659,",CT115,Xq21.32,AK094978,NM_173698,,,,,,,,,,
FAM136GP,family,with,sequence,similarity,136,member,"G,",pseudogene,Approved,Xp22.13,,,,,,,,,,,,,,
FAM156A,family,with,sequence,similarity,156,member,A,Approved,TMEM29,PRO0659,Xp11.22,AF090943,NM_014138,,,,,,,,,,,
FAM156B,family,with,sequence,similarity,156,member,B,Approved,TMEM29B,Xp11.22,,,,,,,,,,,,,,
FAM197Y1,family,with,sequence,similarity,197,Y-linked,member,1,Approved,FAM197Y1P,Yp11.2,,,,,,,,,,,,,
FAM197Y2,family,with,sequence,similarity,197,Y-linked,member,2,Approved,"CYorf16,",FAM197Y2P,Yp11.2,AF527835,NR_001553,,,,,,,,,,
FAM197Y3,family,with,sequence,similarity,197,Y-linked,member,3,Approved,Yp11.2,NR_145461,,,,,,,,,,,,,
FAM197Y4,family,with,sequence,similarity,197,Y-linked,member,4,Approved,FAM197Y4P,Yp11.2,NR_145470,,,,,,,,,,,,
FAM197Y5,family,with,sequence,similarity,197,Y-linked,member,5,Approved,FAM197Y5P,Yp11.2,NR_046300,,,,,,,,,,,,
FAM197Y6,family,with,sequence,similarity,197,Y-linked,member,6,Approved,Yp11.2,NR_145469,,,,,,,,,,,,,
FAM197Y7,family,with,sequence,similarity,197,Y-linked,member,7,Approved,FAM197Y7P,Yp11.2,,,,,,,,,,,,,
FAM197Y8,family,with,sequence,similarity,197,Y-linked,member,8,Approved,Yp11.2,NR_145468,,,,,,,,,,,,,
FAM197Y9,family,with,sequence,similarity,197,Y-linked,member,9,Approved,Yp11.2,NR_145462,,,,,,,,,,,,,
FAM197Y10,family,with,sequence,similarity,197,Y-linked,member,10,Approved,Yq11.223,,,,,,,,,,,,,,
FAM199X,family,with,sequence,similarity,"199,",X-linked,Approved,CXorf39,Xq22.2,BC016683,NM_207318,,,,,,,,,,,,,
FAM199YP,family,with,sequence,similarity,"199,","Y-linked,",pseudogene,Approved,FAM199Y,Yp11.2,NG_002952,,,,,,,,,,,,,
FAM201CP,family,with,sequence,similarity,201,member,"C,",pseudogene,Entry,Withdrawn,FAM201C,Yq11.1,,,,,,,,,,,,
FAM202B,family,with,sequence,similarity,"202,",member,B,Entry,Withdrawn,Yq11.23,,,,,,,,,,,,,,
FAM202C,family,with,sequence,similarity,"202,",member,C,Entry,Withdrawn,Yq11.223,,,,,,,,,,,,,,
FAM223A,family,with,sequence,similarity,223,member,A,Approved,"CXorf52,","NCRNA00204,","NCRNA00204A,",LINC00204A,SPCX,Xq28,AY168775,NR_027401,,,,,,,,
FAM223B,family,with,sequence,similarity,223,member,B,Approved,"CXorf52B,","NCRNA00204B,",LINC00204B,Xq28,NR_027402,,,,,,,,,,,
FAM224A,family,with,sequence,similarity,224,member,A,Approved,"NCRNA00230A,",LINC00230A,Yq11.222,AK026667,NR_002161,,,,,,,,,,,
FAM224B,family,with,sequence,similarity,224,member,B,Approved,"NCRNA00230B,",LINC00230B,Yq11.222,AI819212,NR_002160,,,,,,,,,,,
FAM226A,family,with,sequence,similarity,226,member,A,Approved,"CXorf50,","NCRNA00246,","NCRNA00246A,",LINC00246A,MGC34827,Xq13.1,BC041962,NR_026595,,,,,,,,
FAM226B,family,with,sequence,similarity,226,member,B,Approved,"CXorf50B,","NCRNA00246B,",LINC00246B,Xq13.1,BC025725,NR_026594,,,,,,,,,,
FAM236A,family,with,sequence,similarity,236,member,A,Approved,"DMRTC1-AS1,",LINC00684,Xq13.1,NM_001348071,,,,,,,,,,,,
FAM236B,family,with,sequence,similarity,236,member,B,Approved,Xq13.1,NM_001348072,,,,,,,,,,,,,,
FAM236C,family,with,sequence,similarity,236,member,C,Approved,Xq13.1,,,,,,,,,,,,,,,
FAM236D,family,with,sequence,similarity,236,member,D,Approved,Xq13.1,,,,,,,,,,,,,,,
FAM239A,family,with,sequence,similarity,239,member,A,Approved,Xp22.33,,,,,,,,,,,,,,,
FAM239B,family,with,sequence,similarity,239,member,B,Approved,Xp22.33,,,,,,,,,,,,,,,
FAM239C,family,with,sequence,similarity,239,member,C,Approved,Xp22.33,,,,,,,,,,,,,,,
FANCB,FA,complementation,group,B,Approved,"FAB,","FLJ34064,",FAAP95,Xp22.2,AK091383,NM_152633,,,,,,,,,,,,,
FATE1,fetal,and,adult,testis,expressed,1,Approved,"FATE,",CT43,Xq28,AF249872,NM_033085,,,,,,,,,,,,
FBLIM1P1,FBLIM1,pseudogene,1,Approved,Xq25,NG_022635,,,,,,,,,,,,,,,,,,
FCF1P4,FCF1,pseudogene,4,Approved,Xq23,,,,,,,,,,,,,,,,,,,
FCF1P9,FCF1,pseudogene,9,Approved,Xq21.2,,,,,,,,,,,,,,,,,,,
FCP1,F-cell,production,1,Entry,Withdrawn,"FCPX,","HBFQTL3,",FCP,Xp22.2,,,,,,,,,,,,,,,
FDPSP5,farnesyl,diphosphate,synthase,pseudogene,5,Approved,"FPSL5,","CHR39C,",FDPSL5,Xp11.3,NG_007446,,,,,,,,,,,,,
FERP1,FER,tyrosine,kinase,pseudogene,1,Approved,FERP,FERps,Xq25,AL030996,NG_005390,,,,,,,,,,,,,
FGD1,"FYVE,",RhoGEF,and,PH,domain,containing,1,Approved,FGDY,ZFYVE3,Xp11.22,U11690,NM_004463,,,,,,,,,,,
FGF13,fibroblast,growth,factor,13,Approved,LINC00889,"FHF2,","FGF2,",FLJ30672,Xq26.3-q27.1,BC034340,NM_004114,,,,,,,,,,,,
FGF13-AS1,FGF13,antisense,RNA,1,Approved,Xq26.3,BC023610,NR_038405,,,,,,,,,,,,,,,,
FGF16,fibroblast,growth,factor,16,Approved,MF4,Xq21.1,AB009391,NM_003868,,,,,,,,,,,,,,,
FGS1,symbol,"withdrawn,",see,[HGNC:11957](/data/gene-symbol-report/#!/hgnc_id/HGNC:11957),Symbol,Withdrawn,OKS,Xq12-q21.31,,,,,,,,,,,,,,,,
FGS2,FG,syndrome,2,Entry,Withdrawn,Xq11-q28,,,,,,,,,,,,,,,,,,
FGS3,FG,syndrome,3,Entry,Withdrawn,Xp22.3,,,,,,,,,,,,,,,,,,
FGS5,FG,syndrome,5,Entry,Withdrawn,Xq22.3,,,,,,,,,,,,,,,,,,
FHL1,four,and,a,half,LIM,domains,1,Approved,"SLIM1,","KYO-T,","bA535K18.1,","FHL1B,","XMPMA,","FLH1A,",MGC111107,Xq26.3,U60115,NM_001449,,,,,,
FIRRE,firre,intergenic,repeating,RNA,element,Approved,LINC01200,Xq26.2,AK097911,NR_026975,,,,,,,,,,,,,,
FLICR,FOXP3,regulating,long,intergenic,non-coding,RNA,Approved,Xp11.23,NR_147988,,,,,,,,,,,,,,,
FLNA,filamin,A,Approved,"FLN1,","FLN,","OPD2,",OPD1,ABP-280,Xq28,X70082,,,,,,,,,,,,,,
FMN2P1,FMN2,pseudogene,1,Approved,Xp21.3,NG_026808,,,,,,,,,,,,,,,,,,
FMR1,fragile,X,messenger,ribonucleoprotein,1,Approved,"POF1,",POF,"FMRP,","FRAXA,",MGC87458,Xq27.3,X69962,NM_002024,,,,,,,,,,
FMR1-AS1,FMR1,antisense,RNA,1,Approved,"FMR1AS,",FMR1-AS,"ASFMR1,",FMR4,Xq27.3,NR_024499,,,,,,,,,,,,,
FMR1-IT1,FMR1,intronic,transcript,1,Approved,Xq27.3,,,,,,,,,,,,,,,,,,
FMR1NB,FMR1,neighbor,Approved,"FLJ25736,","NY-SAR-35,",CT37,Xq27.3-q28,NM_152578,,,,,,,,,,,,,,,,
FMR3,fragile,X,mental,retardation,associated,3,Entry,Withdrawn,Xq28,,,,,,,,,,,,,,,
FNDC3CP,fibronectin,type,III,domain,containing,"3C,",pseudogene,Approved,Xq21.1,NG_026723,,,,,,,,,,,,,,
FOXN3P1,forkhead,box,N3,pseudogene,1,Approved,Xq22.1,,,,,,,,,,,,,,,,,
FOXN3P2,FOXN3,pseudogene,2,Approved,Xq13.3,,,,,,,,,,,,,,,,,,,
FOXO4,forkhead,box,O4,Approved,MLLT7,AFX1,Xq13.1,NM_005938,,,,,,,,,,,,,,,,
FOXP3,forkhead,box,P3,Approved,IPEX,"JM2,","XPID,","AIID,","PIDX,","DIETER,",SCURFIN,Xp11.23,NM_014009,,,,,,,,,,,
FOXR2,forkhead,box,R2,Approved,"MGC21658,",FOXN6,Xp11.21,BC012934,NM_198451,,,,,,,,,,,,,,,
FRAXA,fragile,"site,",folic,acid,"type,","rare,",fra(X)(q27.3),A,Approved,Xq27.3,NG_051583,,,,,,,,,,,,,
FRAXB,fragile,"site,",aphidicolin,"type,","common,",fra(X)(p22.31),B,Approved,Xp22.31,,,,,,,,,,,,,,,
FRAXC,fragile,"site,",aphidicolin,"type,","common,",fra(X)(q22.1),C,Approved,Xq22.1,,,,,,,,,,,,,,,
FRAXD,fragile,"site,",aphidicolin,"type,","common,",fra(X)(q27.2),D,Approved,Xq27.2,,,,,,,,,,,,,,,
FRAXE,fragile,"site,",folic,acid,"type,","rare,",fra(X)(q28),E,Approved,Xq28,NG_052611,,,,,,,,,,,,,
FRAXF,symbol,"withdrawn,",see,[HGNC:17125](/data/gene-symbol-report/#!/hgnc_id/HGNC:17125),Symbol,Withdrawn,Xq28,,,,,,,,,,,,,,,,,
FRMD7,FERM,domain,containing,7,Approved,"NYS,",NYS1,FLJ43346,Xq26.2,AL161984,NM_194277,,,,,,,,,,,,,
FRMD8P1,FERM,domain,containing,8,pseudogene,1,Approved,FKSG43,Xq12,NR_033742,,,,,,,,,,,,,,
FRMPD3,FERM,and,PDZ,domain,containing,3,Approved,"RP5-1070B1.1,",KIAA1817,Xq22.3,AB058720,NM_032428,,,,,,,,,,,,
FRMPD3-AS1,FRMPD3,antisense,RNA,1,Approved,Xq22.3,,,,,,,,,,,,,,,,,,
FRMPD4,FERM,and,PDZ,domain,containing,4,Approved,"PDZK10,",PDZD10,KIAA0316,Xp22.2,AB002314,NM_014728,,,,,,,,,,,
FRMPD4-AS1,FRMPD4,antisense,RNA,1,Approved,Xp22.2,,,,,,,,,,,,,,,,,,
FSIP2LP,fibrous,sheath,interacting,protein,2,"like,",pseudogene,Approved,Xq26.1,,,,,,,,,,,,,,,
FTH1P8,ferritin,heavy,chain,1,pseudogene,8,Approved,FTHL8,Xq28,NR_002203,,,,,,,,,,,,,,
FTH1P14,ferritin,heavy,chain,1,pseudogene,14,Approved,Xp21.1,,,,,,,,,,,,,,,,
FTH1P19,ferritin,heavy,chain,1,pseudogene,19,Approved,FTHL19,Xp21.1,XM_372202,,,,,,,,,,,,,,
FTH1P27,ferritin,heavy,chain,1,pseudogene,27,Approved,Xp21.1,,,,,,,,,,,,,,,,
FTHL17,ferritin,heavy,chain,like,17,Approved,CT38,Xp21.2,AF285592,NM_031894,,,,,,,,,,,,,,
FTHL18P,ferritin,heavy,chain,like,"18,",pseudogene,Approved,"FTH1P18,",FTHL18,Xp21.1,AA383232,NR_171164,,,,,,,,,,,,
FTLP2,ferritin,light,chain,pseudogene,2,Approved,FTLL2,Xp21.2,XR_017149,,,,,,,,,,,,,,,
FTLP16,ferritin,light,chain,pseudogene,16,Approved,Xp11.4,NG_022590,,,,,,,,,,,,,,,,
FTSJ1,FtsJ,RNA,2'-O-methyltransferase,1,Approved,"MRX9,",MRX44,"JM23,","CDLIV,","SPB1,","TRM7,",TRMT7,Xp11.23,AJ005892,,,,,,,,,,
FTX,FTX,"transcript,",XIST,regulator,Approved,"NCRNA00182,",MIR374AHG,"LINC00182,",FLJ33139,Xq13.2,AK057701,NR_028379,,,,,,,,,,,,
FUNDC1,FUN14,domain,containing,1,Approved,MGC51029,Xp11.3,BC042813,NM_173794,,,,,,,,,,,,,,,
FUNDC2,FUN14,domain,containing,2,Approved,"HCBP6,",DC44,Xq28,AF267862,NM_023934,,,,,,,,,,,,,,
FXYD6P3,FXYD,domain,containing,ion,transport,regulator,6,pseudogene,3,Approved,FXYD8,Xq13.2,NG_009946,,,,,,,,,,,
G6PD,glucose-6-phosphate,dehydrogenase,Approved,G6PD1,Xq28,X03674,NM_000402,,,,,,,,,,,,,,,,,
GAB3,GRB2,associated,binding,protein,3,Approved,Xq28,AY057989,NM_001081573,,,,,,,,,,,,,,,
GABRA3,gamma-aminobutyric,acid,type,A,receptor,subunit,alpha3,Approved,Xq28,NM_000808,,,,,,,,,,,,,,
GABRE,gamma-aminobutyric,acid,type,A,receptor,subunit,epsilon,Approved,Xq28,Y09765,"NM_004961,","NM_021990,",NM_021984,,,,,,,,,,,
GABRQ,gamma-aminobutyric,acid,type,A,receptor,subunit,theta,Approved,Xq28,U47334,NM_018558,,,,,,,,,,,,,
GAGE1,G,antigen,1,Approved,CT4.1,Xp11.23,U19142,NM_001468,,,,,,,,,,,,,,,,
GAGE2A,G,antigen,2A,Approved,GAGE2,CT4.2,Xp11.23,U19143,,,,,,,,,,,,,,,,
GAGE2B,G,antigen,2B,Approved,Xp11.23,not,on,reference,assembly,NM_001098411,,,,,,,,,,,,,,
GAGE2C,G,antigen,2C,Approved,Xp11.23,not,on,reference,assembly,NM_001472,,,,,,,,,,,,,,
GAGE2D,G,antigen,2D,Approved,GAGE8,Xp11.23,not,on,reference,assembly,NM_001098407,,,,,,,,,,,,,
GAGE2E,G,antigen,2E,Approved,GAGE8,Xp11.23,NM_001127200,,,,,,,,,,,,,,,,,
GAGE3,G,antigen,3,Entry,Withdrawn,CT4.3,Xp11.23,not,on,reference,assembly,,,,,,,,,,,,,
GAGE4,G,antigen,4,Approved,CT4.4,Xp11.4-p11.2,not,on,reference,assembly,U19145,NM_001474,,,,,,,,,,,,
GAGE5,G,antigen,5,Approved,CT4.5,Xp11.4-p11.2,not,on,reference,assembly,U19146,NM_001475,,,,,,,,,,,,
GAGE6,G,antigen,6,Approved,CT4.6,Xp11.4-p11.2,not,on,reference,assembly,U19147,NM_001476,,,,,,,,,,,,
GAGE7,G,antigen,7,Approved,"GAGE-7,",CT4.7,Xp11.4-p11.2,not,on,reference,assembly,AF058988,NM_021123,,,,,,,,,,,
GAGE8,G,antigen,8,Approved,CT4.8,Xp11,not,on,reference,assembly,AF055473,NM_012196,,,,,,,,,,,,
GAGE10,G,antigen,10,Approved,OTTHUMG00000024136,Xp11.23,NM_001098413,,,,,,,,,,,,,,,,,
GAGE12B,G,antigen,12B,Approved,OTTHUMG00000024142,Xp11.23,BC130374,,,,,,,,,,,,,,,,,
GAGE12C,G,antigen,12C,Approved,OTTHUMG00000024144,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12D,G,antigen,12D,Approved,OTTHUMG00000024145,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12E,G,antigen,12E,Approved,OTTHUMG00000024146,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12F,G,antigen,12F,Approved,OTTHUMG00000024147,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12G,G,antigen,12G,Approved,OTTHUMG00000024148,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12H,G,antigen,12H,Approved,OTTHUMG00000024149,Xp11.23,,,,,,,,,,,,,,,,,,
GAGE12I,G,antigen,12I,Approved,GAGE7B,OTTHUMG00000067390,Xp11.23,not,on,reference,assembly,AF055474,,,,,,,,,,,,
GAGE12J,G,antigen,12J,Approved,GAGE11,OTTHUMG00000024137,Xp11.23,NM_001098406,,,,,,,,,,,,,,,,
GAGE13,G,antigen,13,Approved,GAGE12A,OTTHUMG00000024138,Xp11.23,,,,,,,,,,,,,,,,,
GAGED4,symbol,"withdrawn,",see,[HGNC:14618](/data/gene-symbol-report/#!/hgnc_id/HGNC:14618),Symbol,Withdrawn,XAGE3,Xp11.21-p11.22,,,,,,,,,,,,,,,,
GAPDHL2,symbol,"withdrawn,",see,[HGNC:4159](/data/gene-symbol-report/#!/hgnc_id/HGNC:4159),Symbol,Withdrawn,"GAPDL2,",GAPDHL2,Xp11.4,,,,,,,,,,,,,,,
GAPDHP1,glyceraldehyde-3-phosphate,dehydrogenase,pseudogene,1,Approved,"GAPDP1,","GAPDHL2,",GAPDL2,Xp11.4,M26873,NG_001123,,,,,,,,,,,,,
GAPDHP17,glyceraldehyde-3-phosphate,dehydrogenase,pseudogene,17,Approved,GAPDHP18,Yq11.223,NG_002925,,,,,,,,,,,,,,,,
GAPDHP18,symbol,"withdrawn,",see,[HGNC:37765](/data/gene-symbol-report/#!/hgnc_id/HGNC:37765),Symbol,Withdrawn,Yq11.223,,,,,,,,,,,,,,,,,
GAPDHP19,glyceraldehyde,3,phosphate,dehydrogenase,pseudogene,19,Approved,Yq11.222,NG_002924,,,,,,,,,,,,,,,
GAPDHP65,glyceraldehyde,3,phosphate,dehydrogenase,pseudogene,65,Approved,"GAPDL10,",GAPDHL10,Xp11.3,,,,,,,,,,,,,,
GAPDHP67,glyceraldehyde,3,phosphate,dehydrogenase,pseudogene,67,Approved,"GAPDL12,",GAPDHL12,Xq26.3,NG_006127,,,,,,,,,,,,,
GAPDHP77,GAPDH,pseudogene,77,Approved,Xq22.3,,,,,,,,,,,,,,,,,,,
GATA1,GATA,binding,protein,1,Approved,GF1,"ERYF1,","NFE1,","GATA-1,",NF-E1,Xp11.23,X17254,NM_002049,,,,,,,,,,,
GCNA,germ,cell,nuclear,acidic,peptidase,Approved,ACRC,NAAR1,Xq13.1,AJ311392,,,,,,,,,,,,,,
GCY,growth,"control,",Y,chromosome,influenced,Entry,Withdrawn,"STA,",TSY,Yq11,,,,,,,,,,,,,,
GDI1,GDP,dissociation,inhibitor,1,Approved,"MRX48,","MRX41,",GDIL,"RABGDIA,","XAP-4,","OPHN2,",FLJ41411,Xq28,X79353,NM_001493,,,,,,,,,
GDPD2,glycerophosphodiester,phosphodiesterase,domain,containing,2,Approved,"OBDPF,","FLJ20207,",GDE3,Xq13.1,AK000214,NM_017711,,,,,,,,,,,,
GEMIN7P1,GEMIN7,pseudogene,1,Approved,Xp11.4,NG_030156,,,,,,,,,,,,,,,,,,
GEMIN8,gem,nuclear,organelle,associated,protein,8,Approved,FAM51A1,FLJ20514,Xp22.2,BC020785,NM_017856,,,,,,,,,,,,
GEMIN8P3,gem,nuclear,organelle,associated,protein,8,pseudogene,3,Approved,Xq21.2,NG_022678,,,,,,,,,,,,,
GJA6P,gap,junction,protein,alpha,"6,",pseudogene,Approved,Xp22.13,,,,,,,,,,,,,,,,
GJB1,gap,junction,protein,beta,1,Approved,"CMTX1,",CMTX,CX32,Xq13.1,X04325,NM_000166,,,,,,,,,,,,
GK,glycerol,kinase,Approved,"GK1,",GKD,Xp21.2,X78711,NM_000167,,,,,,,,,,,,,,,,
GK-AS1,GK,antisense,RNA,1,Approved,Xp21.2,,,,,,,,,,,,,,,,,,
GK-IT1,GK,intronic,transcript,1,Approved,Xp21.2,,,,,,,,,,,,,,,,,,
GK4P,glycerol,kinase,4,pseudogene,Approved,GKP6,Xq22.1,X78714,NG_001127,,,,,,,,,,,,,,,
GLA,galactosidase,alpha,Approved,GALA,Xq22.1,X16889,,,,,,,,,,,,,,,,,,
GLOD5,glyoxalase,domain,containing,5,Approved,Xp11.23,NM_001080489,,,,,,,,,,,,,,,,,
GLRA2,glycine,receptor,alpha,2,Approved,GLR,Xp22.2,,,,,,,,,,,,,,,,,
GLRA4,glycine,receptor,alpha,4,(pseudogene),Approved,Xq22.2,Z93848,NR_164162,,,,,,,,,,,,,,,
GLRX5P1,GLRX5,pseudogene,1,Approved,Xq24,NG_022696,,,,,,,,,,,,,,,,,,
GLUD1P9,glutamate,dehydrogenase,1,pseudogene,9,Approved,Xq23,,,,,,,,,,,,,,,,,
GLUD2,glutamate,dehydrogenase,2,Approved,GLUDP1,Xq24,U08997,NM_012084,,,,,,,,,,,,,,,,
GNG5B,G,protein,subunit,gamma,5B,Approved,GNG5P2,Xq23,NM_001396022,,,,,,,,,,,,,,,
GNL3L,G,protein,nucleolar,3,like,Approved,"FLJ10613,",GNL3B,Xp11.22,AK001475,NM_019067,,,,,,,,,,,,,
GOLGA2P2Y,GOLGA2,pseudogene,2,Y-linked,Approved,"GOLGA2LY1,",GOLGA2P2,Yq11.23,AF332229,NR_001555,,,,,,,,,,,,,,
GOLGA2P3Y,GOLGA2,pseudogene,3,Y-linked,Approved,"GOLGA2LY2,",GOLGA2P3,Yq11.23,NR_002195,,,,,,,,,,,,,,,
GOLGA6L11P,golgin,A6,family,like,"11,",pseudogene,Approved,GOLGA6L15P,Yq11.23,NG_002946,,,,,,,,,,,,,,
GOLGA6L12P,golgin,A6,family,like,"12,",pseudogene,Approved,Yq11.223,NG_002945,,,,,,,,,,,,,,,
GOLGA6L13P,golgin,A6,family,like,"13,",pseudogene,Approved,Yq11.223,NG_002944,,,,,,,,,,,,,,,
GOLGA6L14P,golgin,A6,family,like,"14,",pseudogene,Approved,Yq11.23,NG_002943,,,,,,,,,,,,,,,
GOLGA6L15P,symbol,"withdrawn,",see,[HGNC:23958](/data/gene-symbol-report/#!/hgnc_id/HGNC:23958),Symbol,Withdrawn,Yq11.23,,,,,,,,,,,,,,,,,
GOLGA6L16P,golgin,A6,family,like,"16,",pseudogene,Approved,Yq11.23,,,,,,,,,,,,,,,,
GOT2P5,GOT2,pseudogene,5,Approved,GOT2Y,Yp11.2,,,,,,,,,,,,,,,,,,
GOT2P6,GOT2,pseudogene,6,Approved,Xp11.21,NG_022661,,,,,,,,,,,,,,,,,,
GOT2P7,GOT2,pseudogene,7,Approved,Xp22.2,NG_026658,,,,,,,,,,,,,,,,,,
GPC3,glypican,3,Approved,SDYS,"OCI-5,","SGBS,","SGBS1,","SGB,",DGSX,Xq26.2,L47125,NM_004484,,,,,,,,,,,,
GPC3-AS1,GPC3,antisense,RNA,1,Approved,Xq26.2,AF085935,NR_148713,,,,,,,,,,,,,,,,
GPC4,glypican,4,Approved,K-glypican,Xq26.2,AF030186,NM_001448,,,,,,,,,,,,,,,,,
GPKOW,G-patch,domain,and,KOW,motifs,Approved,"T54,","GPATC5,","GPATCH5,","Spp2,",Mos2,Xp11.23,U66359,NM_015698,,,,,,,,,,
GPM6B,glycoprotein,M6B,Approved,"M6B,","MGC17150,",MGC54284,Xp22.2,NM_001001995,,,,,,,,,,,,,,,,
GPM6BP1,glycoprotein,M6B,pseudogene,1,Approved,Yq11.222,,,,,,,,,,,,,,,,,,
GPM6BP2,glycoprotein,M6B,pseudogene,2,Approved,Yq11.222,,,,,,,,,,,,,,,,,,
GPR34,G,protein-coupled,receptor,34,Approved,LPS1,Xp11.4,AF039686,NM_005300,,,,,,,,,,,,,,,
GPR50,G,protein-coupled,receptor,50,Approved,"H9,",Mel1c,Xq28,U52219,NM_004224,,,,,,,,,,,,,,
GPR50-AS1,GPR50,antisense,RNA,1,Approved,Xq28,,,,,,,,,,,,,,,,,,
GPR82,G,protein-coupled,receptor,82,Approved,Xp11.4,AF411111,NM_080817,,,,,,,,,,,,,,,,
GPR101,G,protein-coupled,receptor,101,Approved,Xq26.3,AF411115,,,,,,,,,,,,,,,,,
GPR119,G,protein-coupled,receptor,119,Approved,"hGPCR2,",GPCR2,Xq26.1,AY288416,NM_178471,,,,,,,,,,,,,,
GPR143,G,protein-coupled,receptor,143,Approved,OA1,Xp22.2,Z48804,NM_000273,,,,,,,,,,,,,,,
GPR143YP,G,protein-coupled,receptor,143,Y-linked,pseudogene,Approved,"OA1P,",GPR143P,GPR143Y,Yp11.2,NG_002814,,,,,,,,,,,,
GPR165P,G,protein-coupled,receptor,"165,",pseudogene,Approved,"PGR15,",6530406P05Rik,Xq12,NG_005303,,,,,,,,,,,,,,
GPR173,G,protein-coupled,receptor,173,Approved,SREB3,Xp11.22,AB040801,NM_018969,,,,,,,,,,,,,,,
GPR174,G,protein-coupled,receptor,174,Approved,"FKSG79,",LPS3,Xq21.1,AF345567,NM_032553,,,,,,,,,,,,,,
